Nº Pedido,Cód. Cliente,Nome Cliente,Grupo Cliente,Região,Endereço Completo,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Janela de Descarga,Anomalia
3727913,3062,SUPERMERCADO MAGNATA LTDA.,Nenhum,Barueri,"Rua Minas Gerais, 300, Vila Boa Vista, Barueri",21,410,-23.5011283,-46.8754334,30,false
3728306,192234,TAMIRES REGINA BATISTA B.RODRIGUES,Nenhum,Barueri,"Rua PADRE CICERO ROMAO BATISTA, 234, Parque Imperial, Barueri",16,315,-23.4886307,-46.8133445,30,false
3727875,3837,L.E. COMERCIO DE CARNES LTDA - ME,Nenhum,Barueri,"Avenida CACHOEIRA, 125, Vl. Pindorama, Barueri",12,230,-23.4928532,-46.880312,30,false
3727963,9778,CENTER CARNES ROCHA AMORIN LTDA-ME,Nenhum,Barueri,"Rua DA PRATA, 349, Jardim dos Camargos, Barueri",5,95,-23.5025874,-46.8674979,30,false
3727863,208551,49.022.281 THAIS MESSIAS DOS SANTOS,Nenhum,Barueri,"Rua LENITA, 542, Parque dos Camargos, Barueri",9,180,-23.5349426,-46.8876186,30,false
3728389,213615,S ORTEGA COM.PRODUTOS ALIMENTICIOS SLU L,Nenhum,Barueri,"Alameda COLIBRI, 64, MORADA DOS PASSAROS, Barueri",4,80,-23.4953736,-46.9513761,30,false
3728459,199507,CENTRO DE DISTRBUIÇÃO REDE KRILL LTDA,Krill,Bertioga,"Avenida APROVADA 294, 775, Boraceia, Bertioga",19,360,-23.85444,-46.13861,30,false
3727951,204952,I. D. TSUNEMATSU MINIMERCADO,Nenhum,Bertioga,"Rua APROVADA, 195, CHACARAS, Bertioga",10,200,-23.85444,-46.13861,30,false
3728457,199511,CENTRO DE DISTRIB. REDE KRILL LTDA,Krill,Bertioga,"Avenida ANCHIETA, 2300, ALBATROZ, Bertioga",7,105,-23.8376018,-46.1298621,30,false
3728109,201881,SURANA APª RODRIGUES DE CAMPOS 396625258,Nenhum,Boituva,"Rua JOAO DE CAMARGO, 352, PQ RES NOVO MUNDO, Boituva",20,390,-23.28333,-47.67222,30,false
3727832,194917,CASA DE CARNES IRMÃOS RUSCONI LTDA,Nenhum,Boituva,"Rua AMARO J ANDRADE, 428, JD.MARIA PAULINA, Boituva",9,180,-23.28333,-47.67222,30,false
3728043,215159,ATACADAO DE CARNES BOM JESUS DOS PERDOES,Nenhum,Bom Jesus dos Perdões,"Avenida SANTOS DUMONT, 698, JARDIM SANTOS DUMONT, Bom Jesus dos Perdões",27,535,-23.135,-46.46528,30,false
3727974,178735,SUPERMERCADO CONVEM DE PERDÕES LTDA,Convém,Bom Jesus dos Perdões,"Rua 21 DE ABRIL, 470, Centro, Bom Jesus dos Perdões",8,160,-23.135,-46.46528,30,false
3728081,12529,P.E. DO PRADO AÇOUGUE ME.,Nenhum,Bom Jesus dos Perdões,"Rua João Franco de Camargo, 595, Centro, Bom Jesus dos Perdões",8,160,-23.135,-46.46528,30,false
3727768,12438,ANGELA EMICO HONDA MERCEARIA ME,Nenhum,Bom Jesus dos Perdões,"Rua Major Murzilho, 96, Centro, Bom Jesus dos Perdões",10,200,-23.135,-46.46528,30,false
3728154,209452,BIG SM COMERCIO DE ALIMENTOS LTDA,Rede BIG,Bragança Paulista,"Rua ROMA, 640, LOTEAMENTO VILA ROMANA, Bragança Paulista",5,90,-22.95194,-46.54194,30,false
3727977,188155,CONVEM SUPERMERCADOS DE BRAGANÇA LTDA,Convém,Bragança Paulista,"Avenida SALVADOR MARKOWICZ, 339, Lagos de Santa Helena, Bragança Paulista",10,200,-22.95194,-46.54194,30,false
3728138,201468,BW COM. ALIMENTOS LTDA,Rede BIG,Bragança Paulista,"Avenida IMIGRANTES, DOS, 2400, JARDIM AMERICA, Bragança Paulista",6,120,-22.9691841,-46.5417814,30,false
3728316,210071,SUPER CM COMPRE MAIS SUPERMERCADO LTDA,Nenhum,Cabreúva,"Avenida VEREADOR JOSE DONATO, 1385, Vilarejo, Cabreúva",16,305,-23.275325,-47.0495177,30,false
3727919,194177,CASA CARNES MENDES E GONÇALVES LTDA - ME,Nenhum,Cabreúva,"Avenida PASCHOAL SANTI, 957, Vilarejo, Cabreúva",18,347,-23.2704381,-47.0581919,30,false
3727782,12951,BRUGNOLO AÇOUGUE LTDA,Nenhum,Cabreúva,"Rua ADEMAR CLEMENTE NUNES, 154, Jacaré, Cabreúva",6,120,-23.250644,-47.055328,30,false
3727812,215104,AMIGO CHURRASQUEIRO COMERCIO DE CARNES L,Nenhum,Cabreúva,"Rua MARECHAL DEODORO DA FONSECA, 240, Centro, Cabreúva",6,120,-23.3069129,-47.1334429,30,false
3727740,205735,BEPACK INDUSTRIA DE EMBALAGENS PLASTICAS,Nenhum,Cabreúva,"Alameda CINCO, 174, CECOM JACARE, Cabreúva",3,60,-23.2425,-47.05889,30,false
3728441,10653,LC ADMINISTRAÇÃO DE RESTAURANTES LTDA.,LC Adm de Restaurante,Cabreúva,"Avenida ANTONIO ORTEGA, 3604, Pinhal, Cabreúva",4,80,-23.3075,-47.13278,30,false
3727858,202143,RONALDO CAMARELI ALIMENTOS,Nenhum,Cabreúva,"Rua DO CARACOL, 500, JACARE, Cabreúva",4,80,-23.2494164,-47.0525913,30,false
3727909,13006,IRMÃOS BOA  LTDA,Irmãos Boa,Cabreúva,"Rua MARANHAO, 256, Jacaré, Cabreúva",42,825,-23.2495822,-47.0561778,30,false
3724348,199943,COMERCIAL DE ALIM.JORDMIX LTDA,Nenhum,Cajamar,"Avenida JORDANO MENDES, 444A, Jordanesia, Cajamar",92,1770,-23.3410368,-46.8376444,30,false
3728287,199945,COMERCIAL DE ALIM. JORDMIX LTDA,Nenhum,Cajamar,"Avenida JORDANO MENDES, 588 A, Jordanesia, Cajamar",18,360,-23.3410368,-46.8376444,30,false
3728286,202246,COMERCIAL DE ALIMENTOS JORDMIX LTDA,Nenhum,Cajamar,"Avenida DOMINGO ALONSO LOPEZ, 136, Altos de Jordanesia, Cajamar",26,520,-23.33444,-46.84056,30,false
3727827,203433,GRANJA IRMÃOS URANO LTDA,Nenhum,Cajamar,"Rua TAKAHARU URANO, 20, IPES (POLVILHO), Cajamar",9,165,-23.35611,-46.87694,30,false
3728006,156981,N & N COMERCIO DE ALIMENTOS LTDA,Nenhum,Cajamar,"Avenida TENENTE MARQUES, 4131, IPES (POLVILHO), Cajamar",4,80,-23.4097583,-46.8359293,30,false
3727850,161901,SUPERMERCADO CENTRAL CAJAMAR LTDA,Nenhum,Cajamar,"Praça BENEDITO MARTINS DA CRUZ, 20, Centro, Cajamar",9,180,-23.35611,-46.87694,30,false
3728325,203060,DISTRIBUIDORA DE ALIMENTOS MOTTA CAMARGO,Nenhum,Cajamar,"Avenida ARNALDO ROJEK, 121, Altos de Jordanesia, Cajamar",8,160,-23.3381083,-46.8360337,30,false
3728288,199943,COMERCIAL DE ALIM.JORDMIX LTDA,Nenhum,Cajamar,"Avenida JORDANO MENDES, 444A, Jordanesia, Cajamar",58,1145,-23.3410368,-46.8376444,30,false
3727655,13994,J.G DE AMORIM - ALIMENTOS,Nenhum,Cajati,"Avenida Luiz de Lima, 390, Centro, Cajati",60,1200,-24.7284174,-48.1143642,30,false
3728300,178880,CASA DE CARNES C.C.S LTDA ME,Nenhum,Cajati,"Avenida Dos Trabalhadores, 36, Centro, Cajati",36,720,-24.73611,-48.12278,30,false
3728011,208151,CENTRAL CARNES AJ LTDA,Nenhum,Cajati,"Avenida DR. FERNANDO COSTA, 282, Centro, Cajati",14,280,-24.73611,-48.12278,30,false
3728143,13759,IRENE LUCIA PEREIRA,Nenhum,Cajati,"Rua JOAO FELIZARDO, 477, Vila Antunes, Cajati",9,180,-24.7323312,-48.1103442,30,false
3728189,211592,EMPORIO DA CARNE LTDA,Nenhum,Cajati,"Avenida DOUTOR FERNANDO COSTA, 46, Centro, Cajati",7,120,-24.73611,-48.12278,30,false
3727943,202109,R.M MUNIZ E CARNEIRO CARNES LTDA,Nenhum,Cajati,"Rua CHILE, 250, Jd.Cardoso de Freitas, Cajati",40,800,-24.73611,-48.12278,30,false
3727717,190371,RIO DAS PEDRAS COM. DE HORTIFRUTIGRANJEI,Nenhum,Campinas,"Rua DOUTOR ALBERTO GALLO, 226, CIDADE UNIVERSITARIA II, Campinas",8,160,-22.90556,-47.06083,30,false
3728183,200062,MULTISERV - MINIMERCADO E AÇOUGUE LTDA,Nenhum,Campinas,"Avenida DR ARLINDO JOAQUIM DE LEMOS, 1421, VL LEMOS, Campinas",15,300,-22.90556,-47.06083,30,false
3728304,202147,ANTONIA ELENITE FCO.ARRUA 29398167867,Nenhum,Campinas,"Avenida JOHN BOYD DUNLOP, 4833, Cidade Satelite Iris, Campinas",5,100,-22.9325648,-47.1303254,30,false
3728038,14466,COOPERATIVA DE CONSUMO COOPERCICA,Coopercica,Campo Limpo Paulista,"Rua MARIA JOSÉ RODRIGUES, 90, Jd.Santa Lucia, Campo Limpo Paulista",20,375,-23.20639,-46.78444,30,false
3728423,1185,MERCADINHO PIRATININGA LTDA,Piratininga,Campos do Jordão,"Avenida DOUTOR JANUARIO MIRAGLIA, 608, Vila Jaguaribe, Campos do Jordão",52,1025,-22.7437125,-45.5964598,30,false
3728172,1185,MERCADINHO PIRATININGA LTDA,Piratininga,Campos do Jordão,"Avenida DOUTOR JANUARIO MIRAGLIA, 608, Vila Jaguaribe, Campos do Jordão",18,360,-22.7437125,-45.5964598,30,false
3727758,12118,SUPERMERCADO TAKAGI LTDA ME.,Nenhum,Cananéia,"Avenida Independencia, 1136, Rocio, Cananéia",11,220,-25.0069457,-47.9313292,30,false
3727886,10715,MANOEL BARBOSA DE ALENCAR ME,Nenhum,Cananéia,"Avenida INDEPENDENCIA, 278, Rocio, Cananéia",12,235,-25.0069137,-47.9312345,30,false
3728062,10750,MERCADO YASSUY LTDA - EPP,Nenhum,Cananéia,"Avenida Independencia, 194, Centro, Cananéia",12,240,-25.01472,-47.92667,30,false
3728399,209814,JONAS DA SILVA MARTINS,Nenhum,Cananéia,"Rua QUATRO, 21, VILA NOSSA SENHORA DOS NAVEGAN, Cananéia",11,220,-25.01472,-47.92667,30,false
3728181,167082,MERCADINHO PIRATININGA DE GENEROS ALIMEN,Piratininga,Caraguatatuba,"Avenida JOSÉ HERCULANO, 7040, Porto Novo, Caraguatatuba",10,200,-23.6946544,-45.4422191,30,false
3728393,167082,MERCADINHO PIRATININGA DE GENEROS ALIMEN,Piratininga,Caraguatatuba,"Avenida JOSÉ HERCULANO, 7040, Porto Novo, Caraguatatuba",17,330,-23.6946544,-45.4422191,30,false
3728403,204045,RCL MERC. AÇOUGUE E PADARIA LTDA,REDE DON,Carapicuíba,"Estrada FAZENDINHA, 281, POUSADA DOS BANDEIRANTES, Carapicuíba",10,200,-23.52272,-46.835,30,false
3727916,190316,MINIMERCADO OKADA LTDA,Nenhum,Carapicuíba,"Rua RUA CAMBIRA, 20, Vila Maria Helena, Carapicuíba",5,100,-23.52272,-46.835,30,false
3727795,3293,SUPERMERCADOS  BRUNO LTDA,Nenhum,Carapicuíba,"Avenida Plutão, 583, Jd.Novo Horizonte, Carapicuíba",14,280,-23.52272,-46.835,30,false
3727864,214904,58.539.253 NATIANO ROCHA SILVA,Nenhum,Carapicuíba,"Rua SAO LUCAS EVANGELISTA, 236, JARDIM CIBELE, Carapicuíba",8,160,-23.52272,-46.835,30,false
3727929,208196,BERTTO PRIME ALIMENTOS LTDA,Nenhum,Carapicuíba,"Avenida NOSSA SENHORA APARECIDA, 22, Vila Silviania, Carapicuíba",12,240,-23.5270869,-46.8456247,30,false
3728087,205527,ELANIO MACHADO SILVA 05662463417,Nenhum,Carapicuíba,"Rua ITAJUBA, 192, Parque Santa Teresa, Carapicuíba",7,140,-23.52272,-46.835,30,false
3728093,191815,SUPERMERCADO BRUNO LTDA,Nenhum,Carapicuíba,"Rua ITAJUBA, 363, Parque Santa Teresa, Carapicuíba",8,160,-23.52272,-46.835,30,false
3728318,13138,SUPERMERCADO BRUNO LTDA.,Nenhum,Carapicuíba,"Estrada Ondas Verde, 1089, Parque Santa Tereza, Carapicuíba",9,180,-23.52272,-46.835,30,false
3727856,194980,GUI BOX MERCADINHO LTDA - ME,Nenhum,Carapicuíba,"Avenida MARGINAL CSU CENTRO S URBANO, 17, Cidade Ariston, Carapicuíba",11,220,-23.52272,-46.835,30,false
3727139,180390,IBERICA IND.COM.DE PANIFICAÇÃO LTDA,Nenhum,Carapicuíba,"Rua MANAUS, 01, Cohab, Carapicuíba",5,100,-23.5340636,-46.8254445,30,false
3727934,201322,ROSANE DA SILVA VIEIRA 19290074850,Nenhum,Carapicuíba,"Rua OFELIA ALVES FERREIRA, 60, JARDIM YAYA, Carapicuíba",9,180,-23.52272,-46.835,30,false
3728147,191913,M G CARAPICUIBA COMERCIO DE CARNES LTDA,Nenhum,Carapicuíba,"Avenida INOCENCIO SERAFICO, 2120, VILA FREIDA, Carapicuíba",9,180,-23.52272,-46.835,30,false
3727728,192995,COMERCIO DE ALIMENTOS ALVES E FARIAS LTD,Rede Parana,Carapicuíba,"Avenida INOCENCIO SERAFICO, 1894, Vila Silva Ribeiro, Carapicuíba",21,395,-23.5537441,-46.8356894,30,false
3728098,213970,SUPERMERCADO PANDA 2 LTDA,Nenhum,Carapicuíba,"Avenida COMENDADOR DANTE CARRARO, 576, Cidade Ariston Estela Azevedo, Carapicuíba",26,520,-23.5340401,-46.8534601,30,false
3728082,209496,DISTRIBUIÇÃO UNION SA,Coopideal,Cerquilho,"Rua DOUTOR CAMPOS, 1285, NOSSA SENHORA DE LOURDES, Cerquilho",55,1080,-23.1543214,-47.7407472,30,false
3728330,205530,COMERCIAL BENZ EIRELI,Nenhum,Cotia,"Estrada MORRO GRANDE, 1895, Jardim Isis, Cotia",13,260,-23.6362615,-46.9549798,30,false
3728322,205529,COMERCIAL BENZ EIRELI,Nenhum,Cotia,"Rua VICENTE CELESTINO, 184, Parque Mirante da Mata, Cotia",8,160,-23.6176627,-46.9548532,30,false
3727691,194142,NOVA PARATI PÃES E DOCES LTDA - ME,Nenhum,Cotia,"Avenida EID MANSUR, 18, Parque São George, Cotia",5,100,-23.60389,-46.91917,30,false
3727712,194142,NOVA PARATI PÃES E DOCES LTDA - ME,Nenhum,Cotia,"Avenida EID MANSUR, 18, Parque São George, Cotia",4,80,-23.60389,-46.91917,30,false
3728331,205532,COMERCIAL BENZ EIRELI,Nenhum,Cotia,"Rua QUINZE DE PIRACICABA, 19, Jardim Sandra, Cotia",10,200,-23.60389,-46.91917,30,false
3727877,211576,PRIMO PIATTO COMERCIO DE ALIMENTOS LTDA,Nenhum,Cotia,"Rodovia RAPOSO TAVARES, S/N, Lageadinho, Cotia",3,60,-23.5895637,-46.8176687,30,false
3727972,218,CASA DE CARNES NOVA SUBLIME LTDA - ME,Nenhum,Cotia,"Avenida JOAO PAULO ABLAS, 45, Jardim da Glória, Cotia",12,240,-23.5977232,-46.8415226,30,false
3728326,205534,COMERCIAL BENZ EIRELI,Nenhum,Cotia,"Estrada DA AGUA ESPRAIADA, 2713, CHAC.TROPICAL (CAUCAIA ALTO), Cotia",10,200,-23.60389,-46.91917,30,false
3728009,210891,FAMILIA SUPERMERCADOS LTDA,Nenhum,Cotia,"Avenida PROFESSOR JOAQUIM BARRETO, 1133, Centro, Cotia",35,680,-23.60389,-46.91917,30,false
3728378,210672,5M COM.ATACADISTA E VAREJISTA DE ALIMENT,Pedreira,Cotia,"Avenida PROFESSOR MANOEL JOSE PEDROSO, 340, Parque Bahia, Cotia",10,200,-23.6081727,-46.9216154,30,false
3728076,10507,SUP VILA RICA PLUS LTDA,Arcos,Diadema,"Rua LUIZ DE VASCONCELOS (JD MARILENE), 127, Vila Nogueira, Diadema",34,665,-23.68611,-46.62278,30,false
3728405,213476,5M COMERCIO ATACADISTA E VAREJISTA DE AL,Pedreira,Diadema,"Avenida ANTONIO SYLVIO CUNHA BUENO, 386, JARDIM UNIAO, Diadema",5,100,-23.68611,-46.62278,30,false
3728365,196714,5M COM.ATAC.VAREJISTA DE ALIMENTOS LTDA,Pedreira,Diadema,"Rua AFONSO MONTEIRO DA CRUZ, 1150, Serraria, Diadema",17,340,-23.68611,-46.62278,30,false
3728001,2606,SUPERVAREJÃO SAÚDE LTDA.,Varejao Saude,Diadema,"Avenida BRASILIA, 887, Jd.Campanario, Diadema",6,115,-23.68611,-46.62278,30,false
3727917,200751,CENTER CARNES SELECT LTDA,Nenhum,Diadema,"Rua SANTA BERNADETE, 344, Canhema, Diadema",13,260,-23.6728106,-46.6037944,30,false
3728303,751,AVICOLA E MERCEARIA MARIZ LTDA,Nenhum,Diadema,"Avenida BRASILIA, 581, Campanário, Diadema",5,90,-23.6682373,-46.6185895,30,false
3728097,210852,ACOUGUE QUILO E GRAMA LTDA,Nenhum,Diadema,"Avenida PRESIDENTE JUSCELINO, 333, Piraporinha, Diadema",8,160,-23.6827558,-46.587356,30,false
3728269,208944,MINI MERCADO HJ LTDA,Nenhum,Diadema,"Rua PAINEIRAS, 9, Eldorado, Diadema",15,300,-23.68611,-46.62278,30,false
3727525,194203,CARREFOUR COM.E IND. LTDA,Carrefour,Duque de Caxias,"Avenida SN 1, 280, LOT INTER BUSI PARK, Duque de Caxias",292,5715,-22.78556,-43.31167,30,false
3728003,182584,LS EMBU CASA DE CARNES E ROTISSERIA LTDA,Nenhum,Embu das Artes,"Rua SOLANO TRINDADE, 42, Jardim Arabutan, Embu das Artes",14,280,-23.64889,-46.85222,30,false
3728455,213732,VAREJAO DO FRANGO BUENO LTDA,Nenhum,Embu das Artes,"Rua TATUI, 190, JARDIM SAO EDUARDO, Embu das Artes",9,180,-23.6687615,-46.804334,30,false
3728411,203432,MICHEL RICHARD MAGALHAES FRAGOSO,Nenhum,Embu das Artes,"Rua ORLANDIA, 47, Parque Luiza, Embu das Artes",6,120,-23.64889,-46.85222,30,false
3727636,182150,OKINAWA MASSAS LTDA,Nenhum,Embu-Guaçu,"Rua DOM PEDRO VILLAS BOAS SOUZA, 08, Jd.São Paulo, Embu-Guaçu",5,100,-23.64889,-46.85222,30,false
3728355,227,CASA DE CARNES TONHO LTDA,Tonho,Ferraz de Vasconcelos,"Praça INDEPENDENCIA, 04, Centro, Ferraz de Vasconcelos",17,340,-23.5413194,-46.3682476,30,false
3728108,1421,ROBERTO CAMARGO AÇOUGUE,Tonho,Ferraz de Vasconcelos,"Avenida SANTOS DUMONT, 466, Centro Velho, Ferraz de Vasconcelos",14,280,-23.54083,-46.36861,30,false
3727924,187255,IRMÃOS BOA LTDA,Irmãos Boa,Francisco Morato,"Rua DEMERSON GOMES ROMANO, 386, Centro, Francisco Morato",45,895,-23.2868804,-46.7419955,30,false
3728313,188733,CASA DE CARNES BONNEVILLE LTDA,Nenhum,Francisco Morato,"Rua Juvenal Hartmann, 05, Centro, Francisco Morato",65,1300,-23.28167,-46.74528,30,false
3728444,196001,SS COM DE ALIMENTOS TDA,Ferdezoni,Franco da Rocha,"Rua JOSE DE SOUSA, 25, PARQUE SANTA DELFA, Franco da Rocha",45,900,-23.32167,-46.72694,30,false
3727959,13947,RESTAURANTE BAMBUZAL LTDA-EPP,Nenhum,Guarujá,"Rua CAV NAMI JAFET, 145, Centro, Guarujá",4,80,-23.99306,-46.25639,30,false
3728185,200752,VIVIANE C.QUIRINO SANTOS,Nenhum,Guarujá,"Rua PARTICULAR UM (PEDREIRA), 3043, Enseada, Guarujá",7,140,-23.99306,-46.25639,30,false
3728186,6708,G.M.OMINE QUITANDÃO LTDA -  EPP,Nenhum,Guarujá,"Rua BANDEIRANTES, 605, João B.Julião, Guarujá",10,200,-23.99306,-46.25639,30,false
3728073,205679,ESPETINHOS DO MINEIRO COMERCIO LTDA,Nenhum,Guarulhos,"Rua HOLANDESA, 150, CIDADE JARDIM CUMBICA (JARDIM, Guarulhos",30,600,-23.46278,-46.53333,30,false
3727796,198247,AVICOLA CAÇULA DO BAIRRO LTDA,Nenhum,Guarulhos,"Rua CLOVIS, 22, JARDIM EUSONIA, Guarulhos",45,900,-23.46278,-46.53333,30,false
3728369,204276,CENTRAL DE CARNES JARDIM CUMBICA LTDA,Rede Nobreza,Guarulhos,"Rua PORTO VELHO, 708, JARDIM CUMBICA (JARDIM PRESIDE, Guarulhos",6,110,-23.46278,-46.53333,30,false
3727900,181508,FAISÃO REAL COM FRANGOS MERC ROTIS LTDA,Nenhum,Guarulhos,"Rua CACHOEIRA, 1291, Jardim Moreira, Guarulhos",7,135,-23.4387171,-46.5483602,30,false
3727699,9958,AVÍCOLA E ROTISSERIE YUKIKO LTDA,Nenhum,Guarulhos,"Rua PROFESSOR JOSE MUNHOZ, 34, Jardim Munhoz, Guarulhos",5,100,-23.46278,-46.53333,30,false
3728034,197521,BG LESTE ALIMENTOS LTDA,Nenhum,Guarulhos,"Rodovia AYRTON SENNA DA SILVA, SN, VILA ANNY, Guarulhos",9,180,-23.46278,-46.53333,30,false
3728233,213873,MERCADO TWO L2 LTDA,Nenhum,Guarulhos,"Rua SARUTAIA, 759, JARDIM SAO PAULO, Guarulhos",6,120,-23.4388407,-46.526703,30,false
3727786,206088,SANDRA REGINA MARTINIANO DE BRITO,Nenhum,Guarulhos,"Avenida DOUTOR TIMOTEO PENTEADO, 1804, VILA HULDA, Guarulhos",10,200,-23.4512951,-46.5432541,30,false
3728275,212532,ATACADO E AUTO SERVIÇO ESPERANÇA LTDA,Rede Esperança,Guarulhos,"Avenida JOSE MIGUEL ACKEL, 1014, PARQUE INDUSTRIAL CUMBICA, Guarulhos",72,1440,-23.46667,-46.46667,30,false
3725436,201005,IDEAL UNION ALIMENTAÇÃO LTDA,Nenhum,Guarulhos,"Rua INDUBEL, 259, VILA AEROPORTO, Guarulhos",5,100,-23.46278,-46.53333,30,false
3728235,214940,FAMILIA II SUPERMERCADO LTDA,Nenhum,Guarulhos,"Praça NOSSA SENHORA APARECIDA, 275, JARDIM VILA GALVAO, Guarulhos",10,195,-23.4661663,-46.5594452,30,false
3728386,802,COMERCIO DE ALIMENTOS ALVES E FARIAS LTD,Rede Parana,Guarulhos,"Rua OSVALDO RAMOS, 100, Parque Mikail, Guarulhos",43,840,-23.46278,-46.53333,30,false
3727915,214253,VILA ZAIRA HORTIFRUTI LTDA,Rede Sitio Verde,Guarulhos,"Rua CONSTANCIO COLALILO, 630, Vila Augusta, Guarulhos",5,95,-23.4830163,-46.5375843,30,false
3728380,209731,CENTRAL DE CARNES CONEGO VALADAO,Nenhum,Guarulhos,"Rua CONEGO VALADAO, 1143, GOPOUVA, Guarulhos",5,100,-23.4737032,-46.5448854,30,false
3728206,165001,LUCIANA SALOMÃO SOARES,Nenhum,Guarulhos,"Rua Ipacaeta, 981, Jardim Presidente Dutra, Guarulhos",8,160,-23.4181485,-46.4345825,30,false
